model,val_pr_auc,val_roc_auc,val_f1,test_pr_auc,test_roc_auc,test_f1
Logistic Regression,0.213049922999652,0.6166161418641383,0.2185389809699202,0.18698344584252244,0.5848549724955316,0.19616346955796496
Random Forest,0.321423458700823,0.7392532610644995,0.34060402684563756,0.3267253830626503,0.7430467434969719,0.3341729638958858
LightGBM,0.3390335831131936,0.7516926529086514,0.3340901719104768,0.3248370369495204,0.7393727929182502,0.31681877444589307
