lead_day,latitude,longitude,forecast_temperature,forecast_rainfall,forecast_wind_u,forecast_wind_v,forecast_pressure,forecast_humidity,forecast_wind_speed,init_month,init_day_of_year,init_day_sin,init_day_cos,lead_day_squared,forecast_wind_direction,forecast_temp_humidity_interact,forecast_wind_pressure_interact,historical_error_lag1
0.5435939623174437,0.04147504767728221,0.02340852295345278,0.10750844456977263,0.5153958557640672,0.04502889218998819,0.030040370448918052,0.1604660020372562,0.03905808976390289,0.03786981114751476,0.0,0.010578927731945664,0.0,0.00036449820921425653,0.0,0.044389176221646474,0.044890849199869645,0.08890169353407862,0.02525694939209217
0.4493637447025008,0.03953003001747125,0.023321715918920106,0.12992418711551446,0.5236448214065073,0.03943616207672825,0.03001935543607183,0.18191752935349925,0.040878028225255325,0.049679958772048206,0.0,0.0077015794737410855,0.0,0.00026396285604742594,0.0,0.050224970784514794,0.04319201264910437,0.10595550660937608,0.031952896822014284
0.36606035590327257,0.03578694626532484,0.026062935653644488,0.14679319411038225,0.4857552078720742,0.04053425827093214,0.029644195903803825,0.17460847243871233,0.044264540823835206,0.045914100262458776,0.0,0.007141531925322857,0.0,0.000439900998242308,0.0,0.044920897074008447,0.054623737514839336,0.0989307260522344,0.03175718320717429
0.20047114019489584,0.037364182454118995,0.02500284825568372,0.16287402392437964,0.45273107294216947,0.045459799206142536,0.03411290541300927,0.2249402388392538,0.04154817283363198,0.06360297603179951,0.0,0.007694742116696888,0.0,0.00024759127161074016,0.0,0.03877401534075325,0.06059244125557724,0.12328781363610249,0.03657717014164178
0.18677368251223567,0.044688302226124535,0.02708536789656637,0.19952583643475458,0.4627156533165599,0.03878738223904626,0.03596724131305946,0.20527346240317368,0.04359027563968427,0.05329887216278313,0.0,0.008136535432505806,0.0,0.0004085776556961301,0.0,0.046978947331791455,0.06254364098339006,0.10506896654573723,0.03222014780452664
0.08803371185157373,0.0389578730602223,0.028721860396474605,0.20283170279142343,0.4541821966749309,0.0434209435417848,0.035869088753290486,0.23662337112168458,0.05947141609326807,0.053532805300186184,0.0,0.007486670881334305,0.0,0.00034469091145793884,0.0,0.04435582881159407,0.073190455206367,0.1055910697102606,0.040178358963282215
0.13123811387996304,0.037502658540131135,0.02803436264959516,0.21230110597335727,0.4843055794038755,0.05368438450469855,0.04040411304615802,0.23200287531738426,0.05821587547356615,0.0655772103396221,0.0,0.006955762428243035,0.0,0.0002922848548201619,0.0,0.04826305027892525,0.08784927756034579,0.12546994799111869,0.05010532515701786
0.44473021012040415,0.04515614895979302,0.03240666921395084,0.23084452441387807,0.4730627231881287,0.05556862382842202,0.04717442308805045,0.311831284251584,0.06657728943003095,0.09917019132040034,0.0,0.007011701890303963,0.0,0.0005274878733669102,0.0,0.04889932735962642,0.08754848310148236,0.1280502571032202,0.054995547942260574
0.59596055225104,0.041146944055084296,0.04429310021112652,0.2829647486408491,0.4553830744912928,0.06161149011970971,0.040847926710612076,0.2904683287253027,0.08134515209955002,0.10351101827565767,0.0,0.008028565942167916,0.0,0.0004864726688498168,0.0,0.051810708239968147,0.09836925240302287,0.14902116493719078,0.06434582724936
0.6423317904999403,0.0377087104628611,0.05626178470691843,0.34594765527069843,0.4549609884097289,0.06737549946629873,0.039912003433386974,0.3381981253691067,0.09636090259409487,0.11851444966623653,0.0,0.013707917055446375,0.0,0.0009158470639479176,0.0,0.05419322818525153,0.12303120421149352,0.15354823398536563,0.07874097883573354
