threshold,precision,recall,f1,predicted_busts
0.1,0.20917630057803469,0.6320960698689956,0.31433224755700323,2768
0.2,0.3505807814149947,0.3624454148471616,0.3564143853998926,947
0.3,0.48299319727891155,0.23253275109170304,0.313927781871776,441
0.4,0.6332046332046332,0.17903930131004367,0.27914893617021275,259
0.5,0.6918238993710691,0.12008733624454149,0.20465116279069767,159
0.6,0.73,0.07969432314410481,0.1437007874015748,100
0.7,0.7878787878787878,0.056768558951965066,0.10590631364562118,66
0.8,0.8666666666666667,0.028384279475982533,0.05496828752642706,30
0.9,1.0,0.0054585152838427945,0.010857763300760043,5
